game,current,peak
Dota 2,572795,875122
Counter-Strike: Global Offensive,194894,524149
Team Fortress 2,35335,53977
Stellaris,28920,68018
Football Manager 2016,24932,57246
ARK: Survival Evolved,21237,43101
Sid Meier's Civilization V,19306,38733
DARK SOULS III,19285,38695
Grand Theft Auto V,18116,32489
Rust,17475,36296
Warframe,16829,29919
Garry's Mod,13733,33314
Fallout 4,12961,27423
The Elder Scrolls V: Skyrim,12248,26089
Clicker Heroes,9956,14895
Arma 3,9906,28826
Counter-Strike,9436,20733
Rocket League,9431,38228
Unturned,8513,17894
Knight Online,8145,11572
Terraria,7138,13709
Left 4 Dead 2,7127,14000
Stardew Valley,6955,11821
War Thunder,6613,14580
Tom Clancy's The Division,6316,12138
AdVenture Capitalist,6261,10532
Football Manager 2015,5672,12884
H1Z1: King of the Kill,5167,9597
Don't Starve Together,4779,9571
Euro Truck Simulator 2,4700,14042
Total War: ROME II - Emperor Edition,4361,9345
PAYDAY 2,4336,8486
Counter-Strike: Source,4314,9499
DayZ,4177,9479
Path of Exile,3954,8515
Robocraft,3951,9618
The Binding of Isaac: Rebirth,3807,6262
Factorio,3802,7758
Call of Duty: Black Ops III,3692,12849
Europa Universalis IV,3640,9563
7 Days to Die,3530,6274
Trove,3476,7485
Mount & Blade: Warband,3215,8322
Tom Clancy's Rainbow Six Siege,3190,6290
The Witcher 3: Wild Hunt,3132,6611
Total War: ATTILA,2898,6009
NBA 2K16,2892,4711
Cities: Skylines,2797,6050
Heroes & Generals,2794,6984
Borderlands 2,2770,6440
Company of Heroes 2,2763,6539
Battleborn,2672,6451
Shakes and Fidget,2631,5646
Dark Souls: Prepare to Die Edition,2610,6459
Magic Duels,2502,3975
Age of Empires II: HD Edition,2369,5694
FINAL FANTASY XIV: A Realm Reborn,2121,4752
Grim Dawn,2110,3660
Marvel Heroes 2016,2103,3926
Don't Starve,2095,3080
Football Manager 2014,2023,4802
H1Z1: Just Survive,1997,4104
XCOM 2,1970,4500
Kerbal Space Program,1961,4414
Arma 2: Operation Arrowhead,1955,4636
Farming Simulator 15,1927,4476
Elite Dangerous,1820,3880
Total War: SHOGUN 2,1785,3596
Dead Island,1774,3838
Crusader Kings II,1774,3960
Hurtworld,1750,4559
Empire: Total War,1745,4231
Space Engineers,1725,4229
Counter-Strike Nexon: Zombies,1706,4525
EVGA PrecisionX 16,1696,2620
Enter the Gungeon,1556,3276
Medieval II: Total War,1504,3333
Tree of Savior (English Ver.),1479,13150
Warface,1434,3983
Crusaders of the Lost Idols,1413,1929
TERA,1384,2965
Rise of the Tomb Raider,1368,2663
EVE Online,1360,2476
Microsoft Flight Simulator X: Steam Edition,1349,2642
Subnautica,1323,3149
Dirty Bomb,1318,3084
SMITE,1291,12812
DARK SOULSâ„¢ II: Scholar of the First Sin,1289,2950
Brawlhalla,1282,5000
VEGA Conflict,1266,1928
American Truck Simulator,1252,2886
PlanetSide 2,1247,2933
Pro Evolution Soccer 2016,1247,2985
Undertale,1235,3205
Neverwinter,1229,2436
FreeStyle2: Street Basketball,1208,1724
Call of Duty: Black Ops II - Multiplayer,1180,4259
NOBUNAGA'S AMBITION: Souzou SengokuRisshiden,1168,2568
Pro Evolution Soccer 2016 myClub,1130,3304
